meal,parking,room_type,lead_time,market,repeated,canceled_book,price,special_requests,output,num of people,nights
2,0,0,5,2,0,0,106,1,1,1,4
0,0,0,211,2,0,0,100,1,0,1,2
2,0,0,48,2,0,0,77,0,0,1,3
0,0,0,34,2,0,0,107,1,1,2,5
0,0,2,83,2,0,0,105,1,1,3,4
0,0,0,121,1,0,0,96,1,1,2,4
0,0,2,44,2,0,0,133,3,1,2,5
2,0,0,0,2,0,0,85,0,1,1,1
0,0,2,35,2,0,0,140,1,1,1,3
2,0,0,30,2,0,0,88,0,0,2,3
0,0,0,95,2,0,0,90,2,0,1,2
0,0,0,47,2,0,0,94,2,1,2,2
0,0,0,0,1,0,0,96,0,1,1,1
2,0,0,1,2,0,0,96,1,1,2,4
0,0,0,99,2,0,0,65,0,0,2,4
0,0,0,12,1,0,0,72,0,1,2,1
0,0,0,99,2,0,0,65,0,0,2,4
0,0,0,122,0,0,0,67,0,1,1,1
0,0,0,2,1,0,0,85,0,1,2,6
0,0,0,37,1,0,0,105,0,1,2,3
2,0,0,130,2,0,0,94,1,1,2,3
0,0,0,99,2,0,0,114,1,1,2,2
0,0,0,60,1,0,0,65,0,1,2,2
1,0,0,56,1,0,0,82,0,1,2,2
0,0,0,107,2,0,0,87,1,1,2,4
2,0,0,2,2,0,0,69,1,1,2,1
0,0,0,72,1,0,0,85,0,1,2,2
2,1,0,23,2,0,0,115,1,1,2,1
0,0,0,34,2,0,0,81,0,0,1,3
0,0,2,186,2,0,0,121,1,0,2,3
0,0,0,64,2,0,0,93,2,1,2,4
0,0,0,35,2,0,0,102,1,1,2,2
0,0,0,96,2,0,0,121,1,1,3,3
2,0,0,41,2,0,0,98,1,0,2,2
0,0,2,55,1,0,0,60,1,1,2,4
0,0,0,146,1,0,0,75,0,1,2,3
0,0,0,32,1,0,0,73,0,1,1,2
1,0,0,55,1,0,0,104,0,1,2,1
2,0,0,57,2,0,0,79,1,1,2,4
0,0,2,7,2,0,0,125,2,1,1,4
2,0,0,124,2,0,0,87,0,1,1,7
1,0,0,169,2,0,0,106,0,0,2,4
0,0,0,6,2,0,0,136,1,1,1,3
0,0,2,51,1,0,0,60,1,1,2,4
2,0,0,13,2,0,0,89,2,1,2,1
0,0,0,100,2,0,0,136,1,1,2,4
2,0,0,139,2,0,0,94,1,1,2,1
0,0,0,117,2,0,0,93,2,1,2,3
0,0,2,39,2,0,0,120,0,0,2,5
0,0,2,86,2,0,0,99,1,1,2,3
0,0,2,19,2,0,0,120,2,1,1,3
0,0,0,192,1,0,0,95,0,1,1,2
0,0,0,86,1,0,0,75,0,1,2,3
0,0,2,179,2,0,0,97,1,1,2,2
0,0,2,26,2,0,0,142,0,0,2,2
0,0,0,55,1,0,0,80,0,1,2,1
0,0,0,74,2,0,0,85,1,1,2,3
0,0,0,143,1,0,0,100,0,1,2,3
2,0,0,34,2,0,0,88,2,1,2,1
0,1,0,30,2,0,0,122,1,1,2,2
0,0,0,177,2,0,0,100,0,0,2,2
0,0,2,34,1,0,0,75,0,1,2,5
0,0,2,18,2,0,0,116,1,1,2,5
0,0,0,64,2,0,0,111,1,1,2,3
0,0,2,155,2,0,0,121,2,0,3,7
0,0,0,46,1,0,0,75,1,1,2,5
0,0,2,128,2,0,0,132,0,0,2,5
2,0,0,20,2,0,0,88,2,1,2,2
0,0,2,40,2,0,0,98,0,1,2,5
0,1,2,46,2,0,0,98,1,1,2,3
0,0,0,1,2,0,0,150,2,1,1,1
2,0,0,196,2,0,0,96,1,1,2,5
0,0,0,188,2,0,0,130,0,0,1,2
