meal,parking,room_type,lead_time,market,repeated,canceled_book,price,special_requests,num of people,nights,output
Not Selected,0,Room_Type 1,5,Online,0,0,106,1,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,211,Online,0,0,100,1,1,2,Canceled
Not Selected,0,Room_Type 1,48,Online,0,0,77,0,1,3,Canceled
Meal Plan 1,0,Room_Type 1,34,Online,0,0,107,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,83,Online,0,0,105,1,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,121,Offline,0,0,96,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,44,Online,0,0,133,3,2,5,Not_Canceled
Not Selected,0,Room_Type 1,0,Online,0,0,85,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,35,Online,0,0,140,1,1,3,Not_Canceled
Not Selected,0,Room_Type 1,30,Online,0,0,88,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,95,Online,0,0,90,2,1,2,Canceled
Meal Plan 1,0,Room_Type 1,47,Online,0,0,94,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Offline,0,0,96,0,1,1,Not_Canceled
Not Selected,0,Room_Type 1,1,Online,0,0,96,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,99,Online,0,0,65,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,12,Offline,0,0,72,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,99,Online,0,0,65,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,67,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,2,Offline,0,0,85,0,2,6,Not_Canceled
Meal Plan 1,0,Room_Type 1,37,Offline,0,0,105,0,2,3,Not_Canceled
Not Selected,0,Room_Type 1,130,Online,0,0,94,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,99,Online,0,0,114,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,60,Offline,0,0,65,0,2,2,Not_Canceled
Meal Plan 2,0,Room_Type 1,56,Offline,0,0,82,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,107,Online,0,0,87,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,2,Online,0,0,69,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,72,Offline,0,0,85,0,2,2,Not_Canceled
Not Selected,1,Room_Type 1,23,Online,0,0,115,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,34,Online,0,0,81,0,1,3,Canceled
Meal Plan 1,0,Room_Type 4,186,Online,0,0,121,1,2,3,Canceled
Meal Plan 1,0,Room_Type 1,64,Online,0,0,93,2,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,35,Online,0,0,102,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,96,Online,0,0,121,1,3,3,Not_Canceled
Not Selected,0,Room_Type 1,41,Online,0,0,98,1,2,2,Canceled
Meal Plan 1,0,Room_Type 4,55,Offline,0,0,60,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,146,Offline,0,0,75,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,32,Offline,0,0,73,0,1,2,Not_Canceled
Meal Plan 2,0,Room_Type 1,55,Offline,0,0,104,0,2,1,Not_Canceled
Not Selected,0,Room_Type 1,57,Online,0,0,79,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,7,Online,0,0,125,2,1,4,Not_Canceled
Not Selected,0,Room_Type 1,124,Online,0,0,87,0,1,7,Not_Canceled
Meal Plan 2,0,Room_Type 1,169,Online,0,0,106,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,6,Online,0,0,136,1,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,51,Offline,0,0,60,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,13,Online,0,0,89,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,100,Online,0,0,136,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,139,Online,0,0,94,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,117,Online,0,0,93,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,39,Online,0,0,120,0,2,5,Canceled
Meal Plan 1,0,Room_Type 4,86,Online,0,0,99,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,19,Online,0,0,120,2,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,192,Offline,0,0,95,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,86,Offline,0,0,75,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,179,Online,0,0,97,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,26,Online,0,0,142,0,2,2,Canceled
Meal Plan 1,0,Room_Type 1,55,Offline,0,0,80,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,74,Online,0,0,85,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,143,Offline,0,0,100,0,2,3,Not_Canceled
Not Selected,0,Room_Type 1,34,Online,0,0,88,2,2,1,Not_Canceled
Meal Plan 1,1,Room_Type 1,30,Online,0,0,122,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,177,Online,0,0,100,0,2,2,Canceled
Meal Plan 1,0,Room_Type 4,34,Offline,0,0,75,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,18,Online,0,0,116,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,64,Online,0,0,111,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,155,Online,0,0,121,2,3,7,Canceled
Meal Plan 1,0,Room_Type 1,46,Offline,0,0,75,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,128,Online,0,0,132,0,2,5,Canceled
Not Selected,0,Room_Type 1,20,Online,0,0,88,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,40,Online,0,0,98,0,2,5,Not_Canceled
Meal Plan 1,1,Room_Type 4,46,Online,0,0,98,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Online,0,0,150,2,1,1,Not_Canceled
Not Selected,0,Room_Type 1,196,Online,0,0,96,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,188,Online,0,0,130,0,1,2,Canceled
Meal Plan 1,0,Room_Type 5,146,Offline,0,0,113,0,2,3,Not_Canceled
Not Selected,0,Room_Type 1,110,Online,0,0,101,1,2,4,Not_Canceled
Meal Plan 1,1,Room_Type 1,68,Online,0,0,105,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,73,Online,0,0,115,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,92,Online,0,0,149,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,171,Online,0,0,111,0,2,7,Canceled
Meal Plan 1,1,Room_Type 1,134,Online,0,0,130,2,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,118,Online,0,0,90,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,30,Online,0,0,76,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,189,Online,0,0,85,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,55,Online,0,0,74,2,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,16,Online,0,0,95,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,24,Online,0,0,107,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,8,Offline,0,0,64,0,2,3,Not_Canceled
Meal Plan 1,1,Room_Type 1,10,Online,0,0,82,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,0,Online,0,0,155,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,12,Online,0,0,101,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,32,Online,0,0,94,3,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,182,Online,0,0,117,2,2,2,Canceled
Not Selected,0,Room_Type 1,1,Online,0,0,127,1,2,1,Not_Canceled
Not Selected,0,Room_Type 1,122,Online,0,0,116,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,40,Online,0,0,117,1,2,5,Not_Canceled
Meal Plan 1,1,Room_Type 4,123,Online,0,0,155,1,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,40,Online,0,0,135,0,3,7,Canceled
Meal Plan 1,0,Room_Type 1,105,Online,0,0,102,3,3,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,2,Online,0,0,103,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,68,Online,0,0,73,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,148,Online,0,0,105,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,68,Online,0,0,133,2,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,30,Offline,0,0,85,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,14,Online,0,0,112,1,1,1,Canceled
Meal Plan 1,0,Room_Type 1,117,Offline,0,0,110,0,1,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,85,Online,0,0,91,1,2,5,Not_Canceled
Not Selected,0,Room_Type 1,1,Online,0,0,135,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,25,Online,0,0,129,2,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,28,Offline,0,0,75,0,2,5,Not_Canceled
Not Selected,0,Room_Type 1,80,Online,0,0,72,0,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,11,Online,0,0,155,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,162,Online,0,0,121,2,3,1,Canceled
Meal Plan 1,0,Room_Type 1,155,Online,0,0,90,2,2,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,82,Online,0,0,109,0,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,27,Online,0,0,142,0,3,6,Canceled
Meal Plan 1,0,Room_Type 1,13,Offline,0,0,90,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,11,Online,0,0,111,1,2,2,Canceled
Meal Plan 1,0,Room_Type 1,39,Online,0,0,117,1,2,1,Not_Canceled
